Serial,Year,Week,Game,Pick,Opponent,h?,Spread,Elo,Weighted DVOA,Difference,Weights,Correct?,Points
2016-10-7,2016,10,7,Minnesota,Washington,,-3,1,,-4,1,no,0
2016-10-8,2016,10,8,Carolina,Kansas City,,-3,0.5,,-3.5,9,no,0
2016-10-9,2016,10,9,Houston,Jacksonville,,-1.5,-5.5,,4,10,yes,10
2016-10-10,2016,10,10,L.A. Rams,Miami,,-3.5,-3.5,,0,7,no,0
2016-10-11,2016,10,11,Arizona,San Francisco,,-13.5,-12,,-1.5,14,yes,14
2016-10-12,2016,10,12,Dallas,Pittsburgh,,-2.5,-0.5,,-2,8,yes,8
2016-10-13,2016,10,13,New England,Seattle,,-7.5,-4.5,,-3,13,no,0
2016-10-14,2016,10,14,N.Y. Giants,Cincinnati,,-2,-2,,0,2,yes,2
2016-11-1,2016,11,1,New Orleans,Carolina,,3.5,5.5,,-2,1,no,0
2016-11-2,2016,11,2,Buffalo,Cincinnati,,3,1.5,,1.5,2,yes,2
2016-11-3,2016,11,3,Pittsburgh,Cleveland,,-8,-7.5,,-0.5,13,yes,13
2016-11-4,2016,11,4,Dallas,Baltimore,,-7,-8,,1,12,yes,12
2016-11-5,2016,11,5,Detroit,Jacksonville,,-6.5,-11,,4.5,9,yes,9
2016-11-6,2016,11,6,Indianapolis,Tennessee,,-3,-5.5,,2.5,7,yes,7
2016-11-7,2016,11,7,Kansas City,Tampa Bay,,-7.5,-11.5,,4,11,no,0
2016-11-8,2016,11,8,Arizona,Minnesota,,0,1,,-1,5,no,0
2016-11-9,2016,11,9,N.Y. Giants,Chicago,,-7.5,-7.5,,0,10,yes,10
2016-11-10,2016,11,10,L.A. Rams,Miami,,1,-1.5,,2.5,3,no,0
2016-11-11,2016,11,11,New England,San Francisco,,-13,-10.5,,-2.5,14,yes,14
2016-11-12,2016,11,12,Philadelphia,Seattle,,6.5,7,,-0.5,4,no,0
2016-11-13,2016,11,13,Washington,Green Bay,,-2.5,-4,,1.5,6,yes,6
2016-11-14,2016,11,14,Oakland,Houston,,-3.5,0,,-3.5,8,yes,8
2016-12-1,2016,12,1,Detroit,Minnesota,,-1.5,-1.5,,0,1,yes,1
2016-12-2,2016,12,2,Dallas,Washington,,-7,-5.5,,-1.5,15,yes,15
2016-12-3,2016,12,3,Pittsburgh,Indianapolis,,-9,1,,-10,16,yes,16
2016-12-4,2016,12,4,Atlanta,Arizona,,-4.5,-2.5,,-2,7,yes,7
2016-12-5,2016,12,5,Buffalo,Jacksonville,,-7.5,-12.5,,5,13,yes,13
2016-12-6,2016,12,6,Tennessee,Chicago,,-5,2,,-7,8,yes,8
2016-12-7,2016,12,7,N.Y. Giants,Cleveland,,-7,-7.5,,0.5,11,yes,11
2016-12-8,2016,12,8,Miami,San Francisco,,-7.5,-10,,2.5,12,yes,12
2016-12-9,2016,12,9,New Orleans,L.A. Rams,,-7,-3.5,,-3.5,10,yes,10
2016-12-10,2016,12,10,Baltimore,Cincinnati,,-4,-1.5,,-2.5,6,yes,6
2016-12-11,2016,12,11,L.A. Rams,Houston,,-1.5,5,,-6.5,2,yes,2
2016-12-12,2016,12,12,Seattle,Tampa Bay,,-6,-6,,0,9,no,0
2016-12-13,2016,12,13,Oakland,Carolina,,-3,-2,,-1,3,yes,3
2016-12-14,2016,12,14,New England,N.Y. Jets,,-7.5,-5.5,,-2,14,yes,14
2016-12-15,2016,12,15,Denver,Kansas City,,-3.5,-2,,-1.5,4,no,0
2016-12-16,2016,12,16,Philadelphia,Green Bay,,-4,-5.5,,1.5,5,no,0
2016-13-1,2016,13,1,Dallas,Minnesota,,-3.5,-1,,-2.5,5,yes,5
2016-13-2,2016,13,2,Atlanta,Kansas City,,-3.5,0.5,,-4,4,no,0
2016-13-3,2016,13,3,Chicago,San Francisco,,-1.5,-4,,2.5,10,yes,10
2016-13-4,2016,13,4,Philadelphia,Cincinnati,,-1,2,,-3,1,no,0
2016-13-5,2016,13,5,Green Bay,Houston,,-6.5,-4,,-2.5,12,yes,12
2016-13-6,2016,13,6,New England,L.A. Rams,,-13.5,-12.5,,-1,15,yes,15
2016-13-7,2016,13,7,New Orleans,Detroit,,-6,-0.5,,-5.5,2,no,0
2016-13-8,2016,13,8,Denver,Jacksonville,,-5,-9.5,,4.5,14,yes,14
2016-13-9,2016,13,9,Baltimore,Miami,,-3.5,-1.5,,-2,6,yes,6
2016-13-10,2016,13,10,Oakland,Buffalo,,-3,-2.5,,-0.5,8,yes,8
2016-13-11,2016,13,11,Arizona,Washington,,-2.5,-2.5,,0,7,yes,7
2016-13-12,2016,13,12,Pittsburgh,N.Y. Giants,,-6,-4,,-2,11,yes,11
2016-13-13,2016,13,13,L.A. Rams,Tampa Bay,,-3.5,-2.5,,-1,9,no,0
2016-13-14,2016,13,14,Seattle,Carolina,,-6.5,-6,,-0.5,13,yes,13
2016-13-15,2016,13,15,N.Y. Jets,Indianapolis,,1.5,-2,,3.5,3,no,0
2016-14-1,2016,14,1,Oakland,Kansas City,,3.5,5.5,,-2,7,no,0
2016-14-2,2016,14,2,Pittsburgh,Buffalo,,-2,1,,-3,9,yes,9
2016-14-3,2016,14,3,Cincinnati,Cleveland,,-5.5,-8,,2.5,14,yes,14
2016-14-4,2016,14,4,Detroit,Chicago,,-7.5,-10.5,,3,16,yes,16
2016-14-5,2016,14,5,Denver,Tennessee,,1,-5.5,,6.5,6,no,0
2016-14-6,2016,14,6,Indianapolis,Houston,,-6,-4,,-2,1,no,0
2016-14-7,2016,14,7,Arizona,Miami,,1,0,,1,8,no,0
2016-14-8,2016,14,8,Washington,Philadelphia,,-1,1,,-2,2,yes,2
2016-14-9,2016,14,9,Carolina,L.A. Rams,,-1.5,-5.5,,4,13,yes,13
2016-14-10,2016,14,10,Minnesota,Jacksonville,,-3.5,-7,,3.5,5,yes,5
2016-14-11,2016,14,11,N.Y. Jets,San Francisco,,2.5,-2,,4.5,3,yes,3
2016-14-12,2016,14,12,Seattle,Green Bay,,-2.5,-2.5,,0,4,no,0
2016-14-13,2016,14,13,Atlanta,L.A. Rams,,-6,-3.5,,-2.5,10,yes,10
2016-14-14,2016,14,14,Tampa Bay,New Orleans,,-2.5,-4.5,,2,12,yes,12
2016-14-15,2016,14,15,Dallas,N.Y. Giants,,-3,-2.5,,-0.5,11,no,0
2016-14-16,2016,14,16,New England,Baltimore,,-7,-9,,2,15,yes,15
2016-15-11,2016,15,11,Atlanta,San Francisco,,-14,-15.5,,1.5,16,yes,16
2016-15-3,2016,15,3,Buffalo,Cleveland,,-10,-14,,4,14,yes,14
2016-15-6,2016,15,6,Kansas City,Tennessee,,-5.5,-12,,6.5,12,no,0
2016-15-1,2016,15,1,Seattle,L.A. Rams,,-16,-11.5,,-4.5,15,yes,15
2016-15-10,2016,15,10,Houston,Jacksonville,,-6,-11,,5,5,yes,5
2016-15-15,2016,15,15,Dallas,Tampa Bay,,-7,-6.5,,-0.5,11,yes,11
2016-15-12,2016,15,12,Arizona,New Orleans,,-2.5,-6,,3.5,6,no,0
2016-15-4,2016,15,4,Green Bay,Chicago,,-6.5,-5.5,,-1,13,yes,13
2016-15-7,2016,15,7,Minnesota,Indianapolis,,-4,-5.5,,1.5,2,no,0
2016-15-9,2016,15,9,Baltimore,Philadelphia,,-6,-4.5,,-1.5,9,yes,9
2016-15-14,2016,15,14,Oakland,L.A. Rams,,-3,-2.5,,-0.5,10,yes,10
2016-15-5,2016,15,5,Pittsburgh,Cincinnati,,-3,-1,,-2,7,yes,7
2016-15-13,2016,15,13,New England,Denver,,-3,-1,,-2,8,yes,8
2016-15-2,2016,15,2,Miami,N.Y. Jets,,-2.5,-0.5,,-2,1,yes,1
2016-15-8,2016,15,8,Detroit,N.Y. Giants,,4,1,,3,4,no,0
2016-15-16,2016,15,16,Carolina,Washington,,6,2.5,,3.5,3,yes,3
2016-16-6,2016,16,6,New England,N.Y. Jets,,-16.5,-15.5,,-1,16,yes,16
2016-16-12,2016,16,12,Seattle,Arizona,,-8,-7.5,,-0.5,15,no,0
2016-16-14,2016,16,14,Pittsburgh,Baltimore,,-5.5,-7,,1.5,13,yes,13
2016-16-10,2016,16,10,L.A. Rams,San Francisco,,-4,-7,,3,9,no,0
2016-16-16,2016,16,16,Dallas,Detroit,,-7.5,-6,,-1.5,14,yes,14
2016-16-5,2016,16,5,Green Bay,Minnesota,,-6.5,-6,,-0.5,12,yes,12
2016-16-15,2016,16,15,Kansas City,Denver,,-3.5,-6,,2.5,11,yes,11
2016-16-4,2016,16,4,L.A. Rams,Cleveland,,-5.5,-5.5,,0,6,no,0
