Year,Week,Won Toss,Won OT Toss,Roof,Surface,Duration,Attendance,Weather,Vegas Line,Over/Under,Link,Favorite,Vegas Line,Over/Under (Points)
2015,3,Broncos (deferred),,dome,fieldturf ,3:19,"62,920",,Denver Broncos -3.0,44.5 (under),https://www.pro-football-reference.com/boxscores/201509270det.htm,Denver Broncos,-3,44.5
2015,3,Chiefs (deferred),,outdoors,grass ,3:27,"78,214","67 degrees, relative humidity 93%, wind 5 mph, wind chill 0",Green Bay Packers -6.0,49.0 (over),https://www.pro-football-reference.com/boxscores/201509280gnb.htm,Green Bay Packers,-6,49
2015,4,Ravens (deferred),Steelers,outdoors,grass ,3:23,"63,929","63 degrees, relative humidity 62%, wind 8 mph",Baltimore Ravens -2.5,43.5 (under),https://www.pro-football-reference.com/boxscores/201510010pit.htm,Baltimore Ravens,-2.5,43.5
2015,4,Jets (deferred),,outdoors,grass ,3:27,"83,986","59 degrees, relative humidity 63%, wind 5 mph, wind chill 0",New York Jets -1.5,42.0 (under),https://www.pro-football-reference.com/boxscores/201510040mia.htm,New York Jets,-1.5,42
2015,4,Giants (deferred),,outdoors,a_turf,3:19,"70,677","60 degrees, relative humidity 66%, wind 8 mph, wind chill 0",Buffalo Bills -5.5,45.5 (under),https://www.pro-football-reference.com/boxscores/201510040buf.htm,Buffalo Bills,-5.5,45.5
2015,4,Texans (deferred),,dome,fieldturf ,3:18,"69,904",,Atlanta Falcons -6.0,47.0 (over),https://www.pro-football-reference.com/boxscores/201510040atl.htm,Atlanta Falcons,-6,47
2015,4,Jaguars (deferred),Jaguars,retractable roof (open),fieldturf ,3:33,"65,609",,Indianapolis Colts -9.5,48.0 (under),https://www.pro-football-reference.com/boxscores/201510040clt.htm,Indianapolis Colts,-9.5,48
2015,4,Raiders (deferred),,outdoors,grass ,3:18,"62,409","55 degrees, relative humidity 83%, wind 12 mph, wind chill 0",Oakland Raiders -3.0,44.0 (under),https://www.pro-football-reference.com/boxscores/201510040chi.htm,Oakland Raiders,-3,44
2015,4,Eagles (deferred),,outdoors,grass ,3:08,"74,767","58 degrees, relative humidity 82%, wind 13 mph, wind chill 0",Philadelphia Eagles -3.0,44.0 (under),https://www.pro-football-reference.com/boxscores/201510040was.htm,Philadelphia Eagles,-3,44
2015,4,Panthers (deferred),,outdoors,grass ,3:10,"57,468","74 degrees, relative humidity 92%, wind 5 mph",Carolina Panthers -3.0,40.0 (over),https://www.pro-football-reference.com/boxscores/201510040tam.htm,Carolina Panthers,-3,40
